,Credit_History,Total_Income,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_3,Dependents_0,Dependents_1,Dependents_2,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,EMI,Balance Income
0,1.0,5849.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,12.5568,-6707.800000000001
1,1.0,6091.0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,12.5568,-6465.800000000001
2,1.0,3000.0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,6.4746,-3474.5999999999995
3,1.0,4941.0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,11.772,-6831.0
4,1.0,6000.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,13.8321,-7832.1
5,1.0,9613.0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,26.1927,-16579.699999999997
6,1.0,3849.0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,9.3195,-5470.5
7,0.0,5540.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,15.4998,-9959.800000000001
8,1.0,5532.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,16.4808,-10948.8
9,1.0,23809.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,34.2369,-10427.900000000001
10,1.0,3900.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,6.867000000000001,-2967.000000000001
11,1.0,4340.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,10.692900000000002,-6352.9000000000015
12,1.0,11179.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,19.62,-8441.0
13,1.0,4693.0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,11.1834,-6490.4000000000015
14,1.0,2385.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1.6677000000000002,717.2999999999997
15,1.0,4950.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,12.262500000000001,-7312.500000000002
16,1.0,3596.0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,9.810000000000002,-6214.000000000002
17,0.0,3510.0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,7.4556000000000004,-3945.6000000000004
18,1.0,4887.0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,13.047299999999998,-8160.299999999997
19,1.0,6100.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,11.2815,-5181.5
20,0.0,7660.0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,10.202399999999999,-2542.3999999999996
21,1.0,11580.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,30.901500000000002,-19321.500000000004
22,0.0,4511.0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,11.3796,-6868.6
